chargeDeviceID,reference,name,latitude,longitude,chargeDeviceStatus
294dc6d1da8b85b2f8f7a281e4a205df,SRC_LDN60520,Q-Park - Oxford Street,51.516177,-0.145972,In service
1eaba980045d3437ae2008095c27e12b,SRC_LDN60521,Park Lane Car Park (Q-Park) 1,51.509356,-0.156480,In service
beeb1024d6d782530220e25ff8b80caa,SRC_LDN60522,Q-Park - Pimlico Car Park,51.490123,-0.146337,In service
42a0872e8bb68ad51fbc39fa6f4568bf,SRC_LDN60523,Q-Park - Queensway Car Park,51.510900,-0.186926,Out of service
f173c3ae7b921bf55b81d800a6ba1a17,SRC_LDN60524,Q-Park - Soho Car Park,51.514249,-0.137215,Out of service
82767bd68d0da5c02df5f04d13f22540,SRC_LDN60525,Q-Park - St Johns Wood,51.534281,-0.173050,In service
f8a3288d15f7971765d63a761b5979cc,SRC_LDN60526,Trafalgar Car Park 1,51.506944,-0.129703,In service
f07b29d1e11aa4474b8262b11302326a,SRC_LDN60527,Chinatown Car Park 1,51.512381,-0.129480,In service
45b4a8b2d70e7e2625321550a034df00,SRC_LDN60528,Queens Drive,51.565873,-0.101732,In service
d3a1e553f6624c0051892aef67f38bca,SRC_LDN60529,Railway Avenue,51.501693,-0.052415,In service
cb24edc0ec341e14fe5108ee6b1493cb,SRC_LDN60530,Raphael Street,51.501170,-0.162646,In service
88c6fccd9f242ea10362555ce8306f3a,SRC_LDN60531,Rayners Lane Station Car Park 1,51.575124,-0.370840,In service
